agent_id,timestep,from_state,to_state,emb_x,emb_y
agent_0000,251,adaptive,unstable,10.950577735900879,-0.12934574484825134
agent_0000,260,unstable,adaptive,11.687073707580566,4.737242221832275
agent_0000,261,adaptive,unstable,11.341897964477539,-0.24097010493278503
agent_0000,264,unstable,exploratory,11.216506004333496,6.702128887176514
agent_0000,266,exploratory,stable,8.728389739990234,10.507540702819824
agent_0000,267,stable,exploratory,10.065162658691406,9.895073890686035
agent_0000,273,exploratory,unstable,10.73057746887207,1.5200392007827759
agent_0000,274,unstable,stable,11.042097091674805,4.127666473388672
agent_0000,276,stable,unstable,11.736536979675293,3.59309983253479
agent_0000,285,unstable,exploratory,11.442961692810059,5.304052829742432
agent_0000,286,exploratory,adaptive,8.898520469665527,8.531821250915527
agent_0000,287,adaptive,stable,5.91265344619751,9.698875427246094
agent_0000,290,stable,exploratory,10.462414741516113,10.32241439819336
agent_0000,292,exploratory,adaptive,7.609197616577148,10.744379997253418
agent_0000,294,adaptive,stable,1.8829058408737183,9.486371040344238
agent_0000,300,stable,exploratory,7.459545612335205,11.371057510375977
agent_0000,305,exploratory,adaptive,8.639364242553711,10.100071907043457
agent_0000,308,adaptive,stable,2.4025180339813232,10.050024032592773
agent_0000,310,stable,adaptive,3.6513471603393555,11.431665420532227
agent_0000,312,adaptive,stable,-0.1769845187664032,8.022268295288086
agent_0000,313,stable,exploratory,5.135558128356934,9.738101959228516
agent_0000,316,exploratory,unstable,11.5568208694458,-0.15824159979820251
agent_0000,317,unstable,stable,11.252303123474121,2.853480815887451
agent_0000,325,stable,adaptive,-0.3082936704158783,5.666290283203125
agent_0000,326,adaptive,stable,-0.7438087463378906,5.443807601928711
agent_0000,329,stable,exploratory,4.953821182250977,11.777402877807617
agent_0000,337,exploratory,adaptive,7.355798244476318,10.356805801391602
agent_0000,340,adaptive,unstable,11.664377212524414,2.028848886489868
agent_0000,347,unstable,stable,10.825162887573242,2.4833502769470215
agent_0000,350,stable,exploratory,10.438970565795898,8.265702247619629
agent_0000,354,exploratory,unstable,11.50684928894043,0.7162334322929382
agent_0000,355,unstable,stable,10.886945724487305,4.248136520385742
agent_0000,361,stable,exploratory,3.842557907104492,8.943352699279785
agent_0000,367,exploratory,unstable,13.077034950256348,1.5456465482711792
agent_0000,368,unstable,adaptive,12.36715316772461,3.5544497966766357
agent_0000,372,adaptive,exploratory,9.721382141113281,9.8158540725708
agent_0000,374,exploratory,adaptive,7.438874244689941,11.909307479858398
agent_0000,376,adaptive,stable,2.6087541580200195,11.042511940002441
agent_0000,382,stable,exploratory,5.0062575340271,10.108834266662598
agent_0000,384,exploratory,adaptive,7.261321544647217,11.229582786560059
agent_0000,385,adaptive,stable,3.5230679512023926,11.10157299041748
agent_0000,388,stable,exploratory,6.912585258483887,11.368075370788574
agent_0000,390,exploratory,adaptive,8.065805435180664,11.870622634887695
agent_0000,393,adaptive,exploratory,10.166237831115723,10.298418998718262
agent_0000,394,exploratory,stable,6.195911884307861,11.31052017211914
agent_0000,396,stable,exploratory,8.768108367919922,9.862876892089844
agent_0000,397,exploratory,adaptive,5.243149757385254,9.627864837646484
agent_0000,399,adaptive,exploratory,8.193370819091797,10.377716064453125
agent_0000,400,exploratory,adaptive,6.038450241088867,10.874995231628418
agent_0000,403,adaptive,stable,0.5691649317741394,8.976058959960938
agent_0000,412,stable,exploratory,6.448127746582031,10.245441436767578
agent_0000,413,exploratory,adaptive,4.326735496520996,10.550643920898438
agent_0000,414,adaptive,stable,1.5952506065368652,9.356796264648438
agent_0000,417,stable,exploratory,5.767107963562012,9.799368858337402
agent_0000,420,exploratory,adaptive,7.330684661865234,11.366004943847656
agent_0000,421,adaptive,stable,3.639758348464966,11.545473098754883
agent_0000,430,stable,exploratory,8.036711692810059,11.343377113342285
agent_0000,434,exploratory,adaptive,7.488729000091553,11.39426040649414
agent_0000,436,adaptive,stable,2.5713376998901367,10.04076862335205
agent_0000,442,stable,unstable,12.664166450500488,1.7386422157287598
agent_0000,443,unstable,stable,11.386924743652344,5.1521501541137695
agent_0000,451,stable,exploratory,6.794149398803711,9.847235679626465
agent_0000,457,exploratory,adaptive,5.168664932250977,11.564410209655762
agent_0000,459,adaptive,stable,2.262127161026001,10.17286205291748
agent_0000,461,stable,unstable,12.312467575073242,2.143130302429199
agent_0000,462,unstable,adaptive,11.612878799438477,5.012156009674072
agent_0000,463,adaptive,unstable,10.500850677490234,1.1309410333633423
agent_0000,464,unstable,stable,10.657073974609375,2.9892609119415283
agent_0000,465,stable,exploratory,11.013425827026367,7.085002899169922
agent_0000,466,exploratory,stable,9.38923168182373,9.243642807006836
agent_0000,468,stable,exploratory,8.12256145477295,11.228058815002441
agent_0000,471,exploratory,adaptive,7.596012592315674,11.488728523254395
agent_0000,475,adaptive,unstable,11.182394981384277,0.2287437915802002
agent_0000,477,unstable,exploratory,11.689644813537598,5.020577430725098
agent_0000,478,exploratory,adaptive,10.017304420471191,8.17317008972168
agent_0000,481,adaptive,stable,2.079714775085449,10.566308975219727
agent_0000,484,stable,exploratory,6.119136333465576,11.133105278015137
agent_0000,485,exploratory,adaptive,4.732438564300537,11.89453125
agent_0000,491,adaptive,unstable,11.944062232971191,3.3238167762756348
agent_0000,492,unstable,exploratory,11.103306770324707,5.649921417236328
agent_0000,494,exploratory,stable,8.273524284362793,9.757890701293945
agent_0000,499,stable,exploratory,6.362916946411133,11.122872352600098
agent_0000,501,exploratory,adaptive,5.277496814727783,9.53192138671875
