min_covar,restart,ll_per_obs,n_iter,em_converged,health_ok,kept,is_winner,max_condition_number,min_eigenvalue,N,T,seed,covariance_type
0.0001,8,-1.2593325727919038,91,True,True,True,False,53.18889929376965,0.001615506225105094,10,1000,47,full
0.0001,9,-1.25933257214651,89,True,True,True,False,53.18881717105443,0.00161550385378991,10,1000,47,full
0.01,0,-1.2695147503941164,106,True,True,True,False,53.20127143355608,0.001548339802017891,10,1000,48,full
0.01,1,-1.2695147498781596,107,True,True,True,False,53.20121389208925,0.0015483381790915892,10,1000,48,full
0.01,2,-1.2695147492501302,115,True,True,True,False,53.20114376939628,0.0015483362013325218,10,1000,48,full
0.01,3,-1.2585340624844275,88,True,True,True,False,40.41468664303144,0.001198660134998853,10,1000,48,full
0.01,4,-1.2695147504290312,106,True,True,True,False,53.201275324102575,0.0015483399117489972,10,1000,48,full
0.01,5,-1.269514752553747,111,True,True,True,False,53.2015116089972,0.00154834657616403,10,1000,48,full
0.01,6,-1.2585340613573106,88,True,True,True,True,40.41530410478944,0.0011986727630554973,10,1000,48,full
0.01,7,-1.2695147457566314,116,True,True,True,False,53.20075199947805,0.001548325152067461,10,1000,48,full
0.01,8,-1.2695147504927842,116,True,True,True,False,53.20128242866676,0.0015483401121305649,10,1000,48,full
0.01,9,-1.2695147445972919,115,True,True,True,False,53.200621346113905,0.0015483214673089201,10,1000,48,full
0.001,0,-1.269514751052719,106,True,True,True,False,53.20134479139065,0.001548341871053413,10,1000,48,full
0.001,1,-1.2695147497851038,107,True,True,True,False,53.20120350733114,0.0015483378861958605,10,1000,48,full
0.001,2,-1.269514748827289,115,True,True,True,False,53.20109650413231,0.0015483348682609507,10,1000,48,full
0.001,3,-1.2585340623519299,88,True,True,True,False,40.414754166398254,0.0011986615159304017,10,1000,48,full
0.001,4,-1.2695147494486327,106,True,True,True,False,53.201165941741344,0.0015483368266857613,10,1000,48,full
0.001,5,-1.2695147524375223,111,True,True,True,False,53.20149871040644,0.0015483462123541316,10,1000,48,full
0.001,6,-1.2585340617422158,88,True,True,True,False,40.415081251417156,0.0011986682052916998,10,1000,48,full
0.001,7,-1.2695147479763453,116,True,True,True,False,53.20100125839218,0.0015483321819690385,10,1000,48,full
0.001,8,-1.2695147503997466,116,True,True,True,False,53.20127206115607,0.0015483398197187101,10,1000,48,full
0.001,9,-1.269514752690008,114,True,True,True,False,53.20152672691377,0.0015483470025713286,10,1000,48,full
0.0001,0,-1.2695147511154494,106,True,True,True,False,53.20135177283471,0.0015483420679636875,10,1000,48,full
0.0001,1,-1.269514749775323,107,True,True,True,False,53.20120241529976,0.0015483378553956249,10,1000,48,full
0.0001,2,-1.2695147487714666,115,True,True,True,False,53.20109026082891,0.0015483346921754606,10,1000,48,full
0.0001,3,-1.2585340623384262,88,True,True,True,False,40.414761109801915,0.0011986616579312108,10,1000,48,full
0.0001,4,-1.2695147493384868,106,True,True,True,False,53.20115364017952,0.0015483364797296915,10,1000,48,full
0.0001,5,-1.2695147524261288,111,True,True,True,False,53.20149744425462,0.0015483461766418356,10,1000,48,full
0.0001,6,-1.2585340617843124,88,True,True,True,False,40.41505771284605,0.001198667723888853,10,1000,48,full
0.0001,7,-1.2695147480605535,116,True,True,True,False,53.201010692625445,0.0015483324480480675,10,1000,48,full
0.0001,8,-1.2695147503897404,116,True,True,True,False,53.20127094385166,0.0015483397882059967,10,1000,48,full
0.0001,9,-1.2695147526339061,114,True,True,True,False,53.201520501887856,0.001548346826991242,10,1000,48,full
0.01,0,-1.2139844810332434,119,True,True,True,False,40.201655533772296,0.0012265605214813345,10,1000,49,full
0.01,1,-1.225891901153716,81,True,True,True,False,54.64331187207298,0.0016144434845537462,10,1000,49,full
0.01,2,-1.2258918989067138,83,True,True,True,False,54.643068060195276,0.0016144366053744794,10,1000,49,full
0.01,3,-1.2258919043877985,76,True,True,True,False,54.64365920225165,0.0016144532847005351,10,1000,49,full
0.01,4,-1.2258918992569625,80,True,True,True,False,54.643106194741065,0.001614437681338301,10,1000,49,full
0.01,5,-1.2139844752074838,112,True,True,True,False,40.20126886584051,0.0012265517336726658,10,1000,49,full
0.01,6,-1.2139844794988564,96,True,True,True,False,40.20155419762686,0.0012265582183802928,10,1000,49,full
0.01,7,-1.213984265254868,96,True,True,True,False,40.16918800955242,0.0012258238354569146,10,1000,49,full
0.01,8,-1.225891904982057,85,True,True,True,False,54.643722568529476,0.0016144550726395765,10,1000,49,full
0.01,9,-1.2258919032284723,67,True,True,True,False,54.643534943411666,0.0016144497792440116,10,1000,49,full
0.001,0,-1.213984266439614,77,True,True,True,False,40.16860129548841,0.0012258105453818284,10,1000,49,full
0.001,1,-1.2258919007232685,81,True,True,True,False,54.64326532731204,0.0016144421712805074,10,1000,49,full
0.001,2,-1.225891906355559,82,True,True,True,False,54.64386851279026,0.0016144591906304114,10,1000,49,full
0.001,3,-1.225891904623741,76,True,True,True,False,54.64368438029686,0.0016144539951234039,10,1000,49,full
0.001,4,-1.2258918989252947,80,True,True,True,False,54.64307007903694,0.0016144366623362582,10,1000,49,full
0.001,5,-1.213984477267438,112,True,True,True,False,40.201406186432386,0.0012265548545209578,10,1000,49,full
0.001,6,-1.2139844776748645,96,True,True,True,False,40.20143326824037,0.0012265554700068221,10,1000,49,full
0.001,7,-1.2139842651797985,96,True,True,True,False,40.169228475471364,0.0012258247521081164,10,1000,49,full
0.001,8,-1.2258919050416108,85,True,True,True,False,54.64372891327036,0.0016144552516627539,10,1000,49,full
0.001,9,-1.225891901388412,65,True,True,True,False,54.643335583215645,0.0016144441550716244,10,1000,49,full
0.0001,0,-1.2139844774615784,98,True,True,True,False,40.20141909412656,0.0012265551478723453,10,1000,49,full
0.0001,1,-1.2258919006789044,81,True,True,True,False,54.64326052530019,0.0016144420357909056,10,1000,49,full
0.0001,2,-1.2258919063249751,82,True,True,True,False,54.64386527018134,0.0016144590991366001,10,1000,49,full
0.0001,3,-1.2258919046483678,76,True,True,True,False,54.64368700552127,0.0016144540691965055,10,1000,49,full
0.0001,4,-1.2258918988914513,80,True,True,True,False,54.64306639133789,0.0016144365582889675,10,1000,49,full
0.0001,5,-1.2139844775001547,112,True,True,True,False,40.20142165795532,0.0012265552061406942,10,1000,49,full
0.0001,6,-1.2139844774131943,96,True,True,True,False,40.201415878078905,0.0012265550747822985,10,1000,49,full
0.0001,7,-1.2139842651719945,96,True,True,True,True,40.169232705156844,0.0012258248479220938,10,1000,49,full
0.0001,8,-1.2258919050382144,85,True,True,True,False,54.643728550616004,0.0016144552414304098,10,1000,49,full
0.0001,9,-1.2258918993334373,65,True,True,True,False,54.6431126038155,0.0016144378637337978,10,1000,49,full
0.01,0,-1.2143674128497717,68,True,True,True,False,55.85020736161906,0.0016674748522898736,10,1000,50,full
0.01,1,-1.2030648122312515,75,True,True,True,False,39.492283561185104,0.0012063489639510731,10,1000,50,full
0.01,2,-1.2143674098939572,68,True,True,True,False,55.8499588044478,0.0016674652897698814,10,1000,50,full
0.01,3,-1.2143674152793127,68,True,True,True,False,55.85040896992105,0.001667482608661257,10,1000,50,full
0.01,4,-1.214367415423444,70,True,True,True,False,55.850420849046436,0.0016674830656379074,10,1000,50,full
0.01,5,-1.2143673170606224,74,True,True,True,False,55.832195717927256,0.0016667823152091256,10,1000,50,full
0.01,6,-1.2143674159876052,73,True,True,True,False,55.85046730499477,0.0016674848530216552,10,1000,50,full
0.01,7,-1.214367415801564,71,True,True,True,False,55.85045198852451,0.0016674842636533788,10,1000,50,full
0.01,8,-1.214367412802991,69,True,True,True,False,55.850203492314314,0.0016674747035727198,10,1000,50,full
0.01,9,-1.2143674096544075,70,True,True,True,False,55.84993850384874,0.0016674645087870307,10,1000,50,full
0.001,0,-1.2143674128496524,68,True,True,True,False,55.85020735194261,0.0016674748519176867,10,1000,50,full
0.001,1,-1.20306481215444,75,True,True,True,False,39.4923764632667,0.0012063510124210918,10,1000,50,full
0.001,2,-1.2143674096431532,68,True,True,True,False,55.84993754337748,0.0016674644718177535,10,1000,50,full
0.001,3,-1.214367415141126,68,True,True,True,False,55.85039756705058,0.001667482169961343,10,1000,50,full
0.001,4,-1.2143674153820063,70,True,True,True,False,55.850417434333714,0.0016674829342648212,10,1000,50,full
0.001,5,-1.2030650219085959,143,True,True,True,False,39.525421643784746,0.0012070807454692134,10,1000,50,full
0.001,6,-1.214367415843935,73,True,True,True,False,55.850455490354584,0.0016674843984789574,10,1000,50,full
0.001,7,-1.2143674154828334,71,True,True,True,False,55.850425743794666,0.0016674832539461616,10,1000,50,full
