N,T,seed,total_obs,cov_type_used,min_covar_used,n_restarts_succeeded,n_restarts_attempted,converged,n_iter_full,tried_fallback,ll_per_obs_full,max_condition_number,min_eigenvalue,state_collapse,reliable,sufficiency_warning,ari_full,accuracy_full,unstable_recall_full,diag_fit_failed,ari_diag,accuracy_diag,ll_per_obs_diag,diag_bic_failed,bic_opt_k_diag,bic_opt_k_full
5,1000,48,5000,full,0.01,30,30,True,112,False,-1.1880076987681791,42.89039776736337,0.0012292155566040934,False,True,False,0.3406365045224514,0.6664,0.999999999999999,False,0.3361573401106386,0.6498,-1.7949542800970182,False,8.0,8
5,1000,49,5000,full,0.01,30,30,True,92,False,-1.1397575370338746,44.151221707486044,0.0012150207241666707,False,True,False,0.3319160525464258,0.6632,0.9999999999999989,False,0.3230084546960592,0.6416,-1.7694036096028964,False,7.0,6
5,1000,50,5000,full,0.01,30,30,True,93,False,-1.1385928426108476,41.061366704409984,0.0011738468580818873,False,True,False,0.33643840746920267,0.6608,0.9999999999999989,False,0.3255448213087602,0.6396,-1.7722265504313266,False,8.0,8
5,1000,51,5000,full,0.01,30,30,True,98,False,-1.2448921071273253,43.658788331862546,0.0011038848929098711,False,True,False,0.34498296084335417,0.6642,0.9999999999999991,False,0.3304167838737616,0.6394,-1.8547966694387346,False,8.0,8
5,2000,42,10000,full,0.0001,30,30,True,78,False,-1.1726552653044842,36.394583301276676,0.001379425006665426,False,True,False,0.3350489703017543,0.6535,0.9999999999999996,False,0.33091366939482153,0.6335,-1.768797280583099,False,8.0,7
5,2000,43,10000,full,0.001,30,30,True,119,False,-1.1419570044299223,37.09701109373087,0.0014429525793809052,False,True,False,0.3359242102919801,0.6578,0.9999999999999996,False,0.33229676897121657,0.6366,-1.7477400830430931,False,7.0,8
5,2000,44,10000,full,0.01,30,30,True,69,False,-1.2159133414040924,40.40660266154191,0.0013446765447590154,False,True,False,0.33729985767290716,0.6567,0.9999999999999996,False,0.33917363046089827,0.6461,-1.8171177864458292,False,8.0,8
5,2000,45,10000,full,0.01,30,30,True,78,False,-1.290397515425001,41.34641405053302,0.0013354976337693345,False,True,False,0.3403357920289758,0.6615,0.9999999999999996,False,0.3441015295579264,0.6547,-1.8689698007289943,False,7.0,7
5,2000,46,10000,full,0.001,30,30,True,78,False,-1.3160367400359325,41.91742120640768,0.0013071154530982171,False,True,False,0.3395099116142396,0.6614,0.9999999999999996,False,0.3418294742699247,0.6554,-1.884796678621665,False,8.0,7
5,2000,47,10000,full,0.0001,30,30,True,114,False,-1.3276726940431132,54.3053812177002,0.001847801851850096,False,True,False,0.34784037799366,0.6069,0.9980620155038755,False,0.3404135424372167,0.6508,-1.8862904690002407,False,8.0,7
5,2000,48,10000,full,0.001,30,30,True,120,False,-1.2680277993186073,42.01614268565081,0.0012406498838001304,False,True,False,0.34797975988228197,0.666,0.9999999999999996,False,0.34155325885681087,0.6503,-1.8595507705596255,False,7.0,8
5,2000,49,10000,full,0.01,30,30,True,78,False,-1.1615175122571277,40.64777128703899,0.0012902515058679077,False,True,False,0.3423929487524835,0.6655,0.9999999999999996,False,0.3307094245463171,0.6409,-1.7656024887706596,False,8.0,7
5,2000,50,10000,full,0.0001,30,30,True,70,False,-1.1386939393561413,38.8431683449066,0.0012719387766874021,False,True,False,0.34054179584977445,0.6584,0.9999999999999996,False,0.3333926284383517,0.6392,-1.7513399957625229,False,8.0,8
5,2000,51,10000,full,0.01,30,30,True,71,False,-1.1960157772799993,38.090583844430796,0.0012847419187258556,False,True,False,0.3390188404906458,0.6553,0.9999999999999996,False,0.33193830546720265,0.6348,-1.7990654793526342,False,8.0,8
